,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
30,0.751,0.631,7,-14.789,1,0.0587,0.00132,0.38,0.0569,0.691,113.008,audio_features,6vpPdHMtMvJBJxqYbbhIiv,spotify:track:6vpPdHMtMvJBJxqYbbhIiv,https://api.spotify.com/v1/tracks/6vpPdHMtMvJBJxqYbbhIiv,https://api.spotify.com/v1/audio-analysis/6vpPdHMtMvJBJxqYbbhIiv,250960,4
31,0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,audio_features,1ChulFMnwxoD74Me8eX2TU,spotify:track:1ChulFMnwxoD74Me8eX2TU,https://api.spotify.com/v1/tracks/1ChulFMnwxoD74Me8eX2TU,https://api.spotify.com/v1/audio-analysis/1ChulFMnwxoD74Me8eX2TU,195147,4
32,0.4,0.805,4,-7.305,1,0.0407,0.0387,5.4e-05,0.109,0.324,158.459,audio_features,497Fkp3gRiGrRMoqBTDudr,spotify:track:497Fkp3gRiGrRMoqBTDudr,https://api.spotify.com/v1/tracks/497Fkp3gRiGrRMoqBTDudr,https://api.spotify.com/v1/audio-analysis/497Fkp3gRiGrRMoqBTDudr,193933,4
33,0.451,0.62,8,-5.609,0,0.0361,0.145,0.0239,0.0677,0.5,123.487,audio_features,5UVsbUV0Kh033cqsZ5sLQi,spotify:track:5UVsbUV0Kh033cqsZ5sLQi,https://api.spotify.com/v1/tracks/5UVsbUV0Kh033cqsZ5sLQi,https://api.spotify.com/v1/audio-analysis/5UVsbUV0Kh033cqsZ5sLQi,199653,4
34,0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,audio_features,3yobQNuKVJ62WDU7h725Fu,spotify:track:3yobQNuKVJ62WDU7h725Fu,https://api.spotify.com/v1/tracks/3yobQNuKVJ62WDU7h725Fu,https://api.spotify.com/v1/audio-analysis/3yobQNuKVJ62WDU7h725Fu,239360,4
35,0.772,0.409,5,-15.061,1,0.0355,0.0896,0.252,0.0522,0.495,125.476,audio_features,7I5eQZFdlPV8LZWH2FeqaW,spotify:track:7I5eQZFdlPV8LZWH2FeqaW,https://api.spotify.com/v1/tracks/7I5eQZFdlPV8LZWH2FeqaW,https://api.spotify.com/v1/audio-analysis/7I5eQZFdlPV8LZWH2FeqaW,187720,4
36,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,audio_features,3XVozq1aeqsJwpXrEZrDJ9,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/tracks/3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/audio-analysis/3XVozq1aeqsJwpXrEZrDJ9,254467,4
37,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,audio_features,3MrRksHupTVEQ7YbA0FsZK,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/audio-analysis/3MrRksHupTVEQ7YbA0FsZK,310333,4
38,0.622,0.829,2,-5.548,1,0.029,0.11,0.0,0.0954,0.539,110.367,audio_features,1uzWOoJdADfstQuFtQFTUn,spotify:track:1uzWOoJdADfstQuFtQFTUn,https://api.spotify.com/v1/tracks/1uzWOoJdADfstQuFtQFTUn,https://api.spotify.com/v1/audio-analysis/1uzWOoJdADfstQuFtQFTUn,257373,4
39,0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,audio_features,5Zi5WxBEBRkucpP79iRjGR,spotify:track:5Zi5WxBEBRkucpP79iRjGR,https://api.spotify.com/v1/tracks/5Zi5WxBEBRkucpP79iRjGR,https://api.spotify.com/v1/audio-analysis/5Zi5WxBEBRkucpP79iRjGR,187533,4
40,0.46,0.873,0,-7.96,1,0.0602,0.0161,4.27e-05,0.255,0.485,146.247,audio_features,0uQcP7QVoLvaFsORsdrgNh,spotify:track:0uQcP7QVoLvaFsORsdrgNh,https://api.spotify.com/v1/tracks/0uQcP7QVoLvaFsORsdrgNh,https://api.spotify.com/v1/audio-analysis/0uQcP7QVoLvaFsORsdrgNh,242493,4
41,0.788,0.576,1,-6.996,0,0.0327,0.0372,0.000211,0.0634,0.889,124.115,audio_features,2QN9zL3SzXdGqqmXO68gFp,spotify:track:2QN9zL3SzXdGqqmXO68gFp,https://api.spotify.com/v1/tracks/2QN9zL3SzXdGqqmXO68gFp,https://api.spotify.com/v1/audio-analysis/2QN9zL3SzXdGqqmXO68gFp,238787,4
42,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,audio_features,1vxw6aYJls2oq3gW0DujAo,spotify:track:1vxw6aYJls2oq3gW0DujAo,https://api.spotify.com/v1/tracks/1vxw6aYJls2oq3gW0DujAo,https://api.spotify.com/v1/audio-analysis/1vxw6aYJls2oq3gW0DujAo,177466,4
