,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
76,0.325,0.324,2,-8.949,1,0.0303,0.805,2.12e-06,0.134,0.143,127.954,audio_features,2PxHZCkIOZqZtIZaYBiUIG,spotify:track:2PxHZCkIOZqZtIZaYBiUIG,https://api.spotify.com/v1/tracks/2PxHZCkIOZqZtIZaYBiUIG,https://api.spotify.com/v1/audio-analysis/2PxHZCkIOZqZtIZaYBiUIG,367293,4
77,0.381,0.143,10,-13.882,1,0.0338,0.895,0.0,0.104,0.177,70.998,audio_features,44NR6LEuYb4j1p8PVZKyJN,spotify:track:44NR6LEuYb4j1p8PVZKyJN,https://api.spotify.com/v1/tracks/44NR6LEuYb4j1p8PVZKyJN,https://api.spotify.com/v1/audio-analysis/44NR6LEuYb4j1p8PVZKyJN,314960,4
78,0.523,0.585,11,-5.896,1,0.0238,0.598,0.0,0.114,0.281,75.326,audio_features,2k1vramjgPRw9Dfm603Sz0,spotify:track:2k1vramjgPRw9Dfm603Sz0,https://api.spotify.com/v1/tracks/2k1vramjgPRw9Dfm603Sz0,https://api.spotify.com/v1/audio-analysis/2k1vramjgPRw9Dfm603Sz0,307467,4
79,0.269,0.734,7,-9.481,1,0.0581,0.0322,3.55e-06,0.673,0.295,147.609,audio_features,71nusQRwO2NxSUtyfxsWht,spotify:track:71nusQRwO2NxSUtyfxsWht,https://api.spotify.com/v1/tracks/71nusQRwO2NxSUtyfxsWht,https://api.spotify.com/v1/audio-analysis/71nusQRwO2NxSUtyfxsWht,354893,4
80,0.336,0.266,9,-10.821,1,0.0345,0.416,1.18e-06,0.396,0.095,122.244,audio_features,3b7MQf3lm7dk60PPFm5aKr,spotify:track:3b7MQf3lm7dk60PPFm5aKr,https://api.spotify.com/v1/tracks/3b7MQf3lm7dk60PPFm5aKr,https://api.spotify.com/v1/audio-analysis/3b7MQf3lm7dk60PPFm5aKr,351787,4
81,0.369,0.197,7,-13.782,1,0.0334,0.598,1.04e-06,0.151,0.149,111.122,audio_features,0R4V1FFufEKtGhkEpILHey,spotify:track:0R4V1FFufEKtGhkEpILHey,https://api.spotify.com/v1/tracks/0R4V1FFufEKtGhkEpILHey,https://api.spotify.com/v1/audio-analysis/0R4V1FFufEKtGhkEpILHey,215000,4
82,0.698,0.521,2,-8.405,1,0.025,0.0187,0.0,0.0806,0.671,98.005,audio_features,5fRtVWvaw2Z5ohtFUpS9A5,spotify:track:5fRtVWvaw2Z5ohtFUpS9A5,https://api.spotify.com/v1/tracks/5fRtVWvaw2Z5ohtFUpS9A5,https://api.spotify.com/v1/audio-analysis/5fRtVWvaw2Z5ohtFUpS9A5,258668,4
83,0.549,0.908,0,-7.488,1,0.039,0.0241,4.73e-06,0.905,0.695,94.201,audio_features,0fanUh0fYbXXLDL7pvYV9Z,spotify:track:0fanUh0fYbXXLDL7pvYV9Z,https://api.spotify.com/v1/tracks/0fanUh0fYbXXLDL7pvYV9Z,https://api.spotify.com/v1/audio-analysis/0fanUh0fYbXXLDL7pvYV9Z,343493,4
84,0.399,0.408,0,-9.593,1,0.0295,0.678,0.0,0.0838,0.0834,131.873,audio_features,0GzR8ijl1dyNnNyeA2FKFT,spotify:track:0GzR8ijl1dyNnNyeA2FKFT,https://api.spotify.com/v1/tracks/0GzR8ijl1dyNnNyeA2FKFT,https://api.spotify.com/v1/audio-analysis/0GzR8ijl1dyNnNyeA2FKFT,357173,4
85,0.561,0.721,9,-6.745,1,0.0407,0.329,0.0,0.729,0.51,109.972,audio_features,72o9D2U2RQuVMvtrslh2yF,spotify:track:72o9D2U2RQuVMvtrslh2yF,https://api.spotify.com/v1/tracks/72o9D2U2RQuVMvtrslh2yF,https://api.spotify.com/v1/audio-analysis/72o9D2U2RQuVMvtrslh2yF,333413,4
