,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
90,0.499,0.106,7,-22.512,1,0.0612,0.959,0.894,0.101,0.133,115.405,audio_features,0EYVmxO0IbeqfFNYbSxv5D,spotify:track:0EYVmxO0IbeqfFNYbSxv5D,https://api.spotify.com/v1/tracks/0EYVmxO0IbeqfFNYbSxv5D,https://api.spotify.com/v1/audio-analysis/0EYVmxO0IbeqfFNYbSxv5D,148507,3
91,0.335,0.155,2,-15.769,1,0.0343,0.953,0.879,0.0961,0.12,56.731,audio_features,3UMpaVgsCRKyRUKdsA9LjN,spotify:track:3UMpaVgsCRKyRUKdsA9LjN,https://api.spotify.com/v1/tracks/3UMpaVgsCRKyRUKdsA9LjN,https://api.spotify.com/v1/audio-analysis/3UMpaVgsCRKyRUKdsA9LjN,129373,4
92,0.319,0.135,7,-16.273,0,0.0352,0.832,0.849,0.183,0.485,128.613,audio_features,4RcRRytoOYRDrYWBn8Yxvu,spotify:track:4RcRRytoOYRDrYWBn8Yxvu,https://api.spotify.com/v1/tracks/4RcRRytoOYRDrYWBn8Yxvu,https://api.spotify.com/v1/audio-analysis/4RcRRytoOYRDrYWBn8Yxvu,153347,4
93,0.219,0.114,7,-19.332,1,0.0461,0.739,0.81,0.223,0.189,122.887,audio_features,23FBLfbkXF4XQcWxuDNyPQ,spotify:track:23FBLfbkXF4XQcWxuDNyPQ,https://api.spotify.com/v1/tracks/23FBLfbkXF4XQcWxuDNyPQ,https://api.spotify.com/v1/audio-analysis/23FBLfbkXF4XQcWxuDNyPQ,185653,4
94,0.42,0.221,0,-19.084,1,0.0363,0.891,0.602,0.0782,0.413,89.202,audio_features,2HTK0mZy6w759HNWfc0cIX,spotify:track:2HTK0mZy6w759HNWfc0cIX,https://api.spotify.com/v1/tracks/2HTK0mZy6w759HNWfc0cIX,https://api.spotify.com/v1/audio-analysis/2HTK0mZy6w759HNWfc0cIX,302000,4
95,0.558,0.579,9,-15.508,1,0.0339,0.862,0.911,0.29,0.702,119.639,audio_features,2Rh5BuDv12pQ5daXkebtKl,spotify:track:2Rh5BuDv12pQ5daXkebtKl,https://api.spotify.com/v1/tracks/2Rh5BuDv12pQ5daXkebtKl,https://api.spotify.com/v1/audio-analysis/2Rh5BuDv12pQ5daXkebtKl,162507,4
96,0.523,0.343,7,-16.195,1,0.0419,0.811,0.103,0.172,0.734,100.942,audio_features,7CJcRJMYKlWBwWDr3U5ICJ,spotify:track:7CJcRJMYKlWBwWDr3U5ICJ,https://api.spotify.com/v1/tracks/7CJcRJMYKlWBwWDr3U5ICJ,https://api.spotify.com/v1/audio-analysis/7CJcRJMYKlWBwWDr3U5ICJ,329253,4
97,0.19,0.0478,1,-20.941,1,0.046,0.981,0.846,0.106,0.0803,68.6,audio_features,1MibzP0dzMkIKBp8MO14oN,spotify:track:1MibzP0dzMkIKBp8MO14oN,https://api.spotify.com/v1/tracks/1MibzP0dzMkIKBp8MO14oN,https://api.spotify.com/v1/audio-analysis/1MibzP0dzMkIKBp8MO14oN,274347,3
98,0.174,0.181,8,-15.679,1,0.0385,0.989,0.00907,0.105,0.0443,153.807,audio_features,4IRBAonqM9Gq1QyPuXyzRy,spotify:track:4IRBAonqM9Gq1QyPuXyzRy,https://api.spotify.com/v1/tracks/4IRBAonqM9Gq1QyPuXyzRy,https://api.spotify.com/v1/audio-analysis/4IRBAonqM9Gq1QyPuXyzRy,284000,3
99,0.394,0.307,5,-18.869,1,0.033,0.559,0.738,0.22,0.435,71.408,audio_features,4IDrd1fYOcAOyZ97eKsXYS,spotify:track:4IDrd1fYOcAOyZ97eKsXYS,https://api.spotify.com/v1/tracks/4IDrd1fYOcAOyZ97eKsXYS,https://api.spotify.com/v1/audio-analysis/4IDrd1fYOcAOyZ97eKsXYS,304680,3
100,0.438,0.129,4,-17.11,1,0.0452,0.965,0.797,0.171,0.812,159.84,audio_features,2biF10SZJa8ytycndS2l4N,spotify:track:2biF10SZJa8ytycndS2l4N,https://api.spotify.com/v1/tracks/2biF10SZJa8ytycndS2l4N,https://api.spotify.com/v1/audio-analysis/2biF10SZJa8ytycndS2l4N,126840,4
101,0.349,0.094,0,-22.316,1,0.0419,0.938,0.828,0.075,0.228,124.764,audio_features,6AjAoIujyZaQmVZV0L9BmY,spotify:track:6AjAoIujyZaQmVZV0L9BmY,https://api.spotify.com/v1/tracks/6AjAoIujyZaQmVZV0L9BmY,https://api.spotify.com/v1/audio-analysis/6AjAoIujyZaQmVZV0L9BmY,667973,4
